[MW-READER] Gap at 2025-10-14T17:25:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T17:28:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T17:46:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T17:50:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T17:56:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T17:59:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T18:07:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T18:10:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T18:15:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T18:22:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T18:25:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T18:35:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T18:38:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T18:44:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T18:47:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T18:52:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T18:57:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T19:00:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T19:12:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T19:15:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T19:22:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T19:25:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T19:28:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T19:32:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T20:04:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T20:10:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T20:15:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T20:21:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T20:24:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T22:01:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T22:14:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T22:32:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T22:56:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T23:02:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T23:12:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T23:23:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T23:46:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T00:03:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T00:07:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T00:11:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T00:17:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T00:21:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T00:30:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T00:37:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T00:46:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T00:51:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T00:59:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T01:22:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T01:36:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T01:52:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T02:13:00.000Z: no bar data available, skipped
